"Item #","Qty","UPC","Aux 1","Desc 1","Desc 2","Size","Attr","Aux 5","Aux 2","Inven P$T$","Desc 3","Desc 4","Aux 6"
"313965","2","8057735433070","201810","52J00009_1Y090565A001","380 EXTRA SLIM - URBAN WASHED","36","U290","2226","TRUSSARDI JEANS MAN","75,00","MEGEVE PI35X","380 EXTRA SLIM DENIM","Jeans 5 poDenim"
"298695","2","8057735057450","201750","56T00001_1Y090535","ROUNDNECK LONG SLEEVES","M","R310","2281","TRUSSARDI JEANS WOMA","35,00","JERSEY COTONE GARGAMELLA","T-SHIRT GIROCOLLO M/L","T-shirt   T-shirt"
"297312","2","8057735237517","201750","79A00097_9Y099999","RAIN BEATLES PVC","39","B220","2013","TJ SHOES WOMAN","59,00","GENERICO","RAIN BEATLES WOMAN","Shoes     Beatles"
"314548","2","8058322517425","201710","52J92222_1Y090525","JEANS 5 TASCHE NORMANDY BLUE D","34","U290","2226","TRUSSARDI JEANS MAN","95,00","NORMANDY PI35X","JEANS 5 TASCHE","Jeans 5 poColor"
"297313","2","8057735237524","201750","79A00097_9Y099999","RAIN BEATLES PVC","40","B220","2013","TJ SHOES WOMAN","59,00","GENERICO","RAIN BEATLES WOMAN","Shoes     Beatles"
"297310","2","8057735237494","201750","79A00097_9Y099999","RAIN BEATLES PVC","36","B220","2013","TJ SHOES WOMAN","59,00","GENERICO","RAIN BEATLES WOMAN","Shoes     Beatles"
"322804","2","8057735348336","201810","56T00060_1T000778","T-SHIRT OVER FIT WITH EMBROIDE","M","E150","GREY","TRUSSARDI JEANS WOMA","39,00","COTTON JERSEY","T-SHIRT OVER WITH EMBROIDERY","T-shirt   T-shirt"
"298740","2","8057735064724","201750","56T00003_1T000377","ROUNDNECK 1/2 SLEEVES","S","W001","2309","TRUSSARDI JEANS WOMA","49,00","COTTON JERSEY WITH PRINT","T-SHIRT GIAGUARO","T-shirt   T-shirt"
"341519","2","8058322416278","201710","79A90578_9Y099999","SCARPA DONNA SUEDE","38","9002","2885","TJ SHOES WOMAN","109,00","GENERICO","SCARPA DONNA","Shoes     Derby"
"306997","2","8058322373830","201710","75B90792_1Y090365","BORSA DONNA ECOPELLE ACCOPPIAT","NR","9004","2885","JEANS LEATHER GOODS","105,00","AUSHAN VIVIIN K506","BORSA DONNA","Bags      Shopping"
"386701","2","8057735326860","201810","52S00122_1T000599","FIELD JKT REGULAR FIT CRINCKLE","50","U280","BLUE","TRUSSARDI JEANS MAN","195,00","CRINCKLED NYLON (TYBH 6122-4-1","FIELD JACKET","Outerwear Nylon"
"360986","2","8057735545858","201721","56T00133_1T001640","T-RAINBOW JERSEY STRETCH  SLIM","L","P100","PINK","TRUSSARDI JEANS WOMA","39,00","JERSEY STRETCH","T-SHIRT","T-shirt   T-shirt"
"376644","2","8057735594603","201721","52J00039_1T001949H001","370 GABARDINA STRETCH","34","G260","2832","TRUSSARDI JEANS MAN","69,00","GABARDINA STRETCH","370 COLOR","Jeans 5 poColor"
"376645","2","8057735594610","201721","52J00039_1T001949H001","370 GABARDINA STRETCH","35","G260","2832","TRUSSARDI JEANS MAN","69,00","GABARDINA STRETCH","370 COLOR","Jeans 5 poColor"
"297318","2","8057735240173","201750","79A00097_9Y099999","RAIN BEATLES PVC","36","K299","BLACK","TJ SHOES WOMAN","59,00","GENERICO","RAIN BEATLES WOMAN","Shoes     Beatles"
"298550","2","8057735139361","201750","56M00072_0F000024","ROUNDNECK","M","P200","3190","TRUSSARDI JEANS WOMA","109,00","WOOL CASHMERE BLEND","GIROCOLLO","Knitwear  Knit"
"300429","2","8057735090525","201750","59Z00010_9Y099999","NECK ECOFUR","UNI","K299","BLACK","TRUSSARDI JEANS PERI","39,00","GENERICO","NECK FUR WOMAN","AccessorieVarious"
"361035","2","8057735546237","201721","56T00139_1T001933","T-NEW POCKET JERSEY COTONE LIG","S","E050","2886","TRUSSARDI JEANS WOMA","39,00","JERSEY COTONE LIGHT","T-SHIRT","T-shirt   T-shirt"
"155551","2","8057735235162","201750","79A00064_9Y099999","DECOLLETE POINTED TOES VELVET","36","U280","BLUE","TJ SHOES WOMAN","99,00","GENERICO","DECOLLETE WOMAN","Shoes     Decollete"
"365821","2","8058322416001","201710","79A90572_9Y099999","SCARPA DONNA PELLE VEGETALE IN","37","9001","2885","TJ SHOES WOMAN","99,00","GENERICO","SCARPA DONNA","Shoes     Derby"
"298551","2","8057735139378","201750","56M00072_0F000024","ROUNDNECK","S","P200","3190","TRUSSARDI JEANS WOMA","109,00","WOOL CASHMERE BLEND","GIROCOLLO","Knitwear  Knit"
"249505","2","8052085733665","201650","32H90220_1Y091826","GIUBBOTTO NYLON MICROFIBRA OPA","48","9001","2885","TRUSSARDI RTW MAN","275,00","P IDRO OPACO TRAP ROMB BEL2005","GIUBBOTTO","Blazer/SuiBlazer"
"365831","2","8058322415950","201710","79A90572_9Y099999","SCARPA DONNA PELLE VEGETALE IN","39","9002","2885","TJ SHOES WOMAN","99,00","GENERICO","SCARPA DONNA","Shoes     Derby"
"314113","2","8057735669394","201850","52J00001_1T001486D002","380 ICON - SSW + SANDBLASTED","38","U290","2226","TRUSSARDI JEANS MAN","89,00","ISKO 48358 CARSTEN","380 ICON  DENIM","Jeans 5 poDenim"
"249733","2","8052085905505","201650","56D90250_1Y091807","ABITO TWEED","42","9001","2885","TRUSSARDI JEANS WOMA","189,00","TWEED","ABITO","Dress womeDress"
"408936","2","8057735485116","201850","52T00165_1T001632","T-SHIRT WITH PRINT","M","K299","BLACK","TRUSSARDI JEANS MAN","29,00","COTTON JERSEY","ROUND-NECKED T-SHIRT WITH PRIN","T-shirt   T-shirt"
"365829","2","8058322415936","201710","79A90572_9Y099999","SCARPA DONNA PELLE VEGETALE IN","37","9002","2885","TJ SHOES WOMAN","99,00","GENERICO","SCARPA DONNA","Shoes     Derby"
"365830","2","8058322415943","201710","79A90572_9Y099999","SCARPA DONNA PELLE VEGETALE IN","38","9002","2885","TJ SHOES WOMAN","99,00","GENERICO","SCARPA DONNA","Shoes     Derby"
"384854","2","8057735549030","201721","52T00184_1T001842","T-SKYSCRAPER","XXL","R310","2281","TRUSSARDI JEANS MAN","39,00","SLUB JERSEY","T-SHIRT","T-shirt   T-shirt"
"249495","2","8052085731982","201650","32H90212_1Y091818","CAPPOTTO NYLON MICROFIBRA","48","U280","BLUE","TRUSSARDI RTW MAN","395,00","ZAFFIRO MICROFIBRA TINTO WR","CAPPOTTO","Blazer/SuiBlazer"
"199794","2","8052085378163","201610","56M90573_0F090208","MAGLIA COTONE STRETCH","S","9002","2885","TRUSSARDI JEANS WOMA","89,00","GOLOSO 2/44","MAGLIA","Knitter/SwKnitter"
"384856","2","8057735548651","201721","52T00184_1T001842","T-SKYSCRAPER","XL","W001","2309","TRUSSARDI JEANS MAN","39,00","SLUB JERSEY","T-SHIRT","T-shirt   T-shirt"
"378060","2","8057735032945","","","","","","","","","","",""
